manufacturer_id,manufacturer_full_id,status
Q05000000,Q05000000-30,PENDIENTE_GRABADO
Q05000001,Q05000001-30,PENDIENTE_GRABADO
Q05000002,Q05000002-30,PENDIENTE_GRABADO
Q05000003,Q05000003-30,PENDIENTE_GRABADO
Q05000004,Q05000004-30,PENDIENTE_GRABADO
Q05000005,Q05000005-30,PENDIENTE_GRABADO
Q05000006,Q05000006-30,PENDIENTE_GRABADO
Q05000007,Q05000007-30,PENDIENTE_GRABADO
Q05000008,Q05000008-30,PENDIENTE_GRABADO
Q05000009,Q05000009-30,PENDIENTE_GRABADO
Q05000010,Q05000010-30,PENDIENTE_GRABADO
Q05000011,Q05000011-30,PENDIENTE_GRABADO
Q05000012,Q05000012-30,PENDIENTE_GRABADO
Q05000013,Q05000013-30,PENDIENTE_GRABADO
Q05000014,Q05000014-30,PENDIENTE_GRABADO
Q05000015,Q05000015-30,PENDIENTE_GRABADO
Q05000016,Q05000016-30,PENDIENTE_GRABADO
Q05000017,Q05000017-30,PENDIENTE_GRABADO
Q05000018,Q05000018-30,PENDIENTE_GRABADO
Q05000019,Q05000019-30,PENDIENTE_GRABADO
Q05000020,Q05000020-30,PENDIENTE_GRABADO
Q05000021,Q05000021-30,PENDIENTE_GRABADO
Q05000022,Q05000022-30,PENDIENTE_GRABADO
Q05000023,Q05000023-30,PENDIENTE_GRABADO
Q05000024,Q05000024-30,PENDIENTE_GRABADO
Q05000025,Q05000025-30,PENDIENTE_GRABADO
Q05000026,Q05000026-30,PENDIENTE_GRABADO
Q05000027,Q05000027-30,PENDIENTE_GRABADO
Q05000028,Q05000028-30,PENDIENTE_GRABADO
Q05000029,Q05000029-30,PENDIENTE_GRABADO
Q05000030,Q05000030-30,PENDIENTE_GRABADO
Q05000031,Q05000031-30,PENDIENTE_GRABADO
Q05000032,Q05000032-30,PENDIENTE_GRABADO
Q05000033,Q05000033-30,PENDIENTE_GRABADO
Q05000034,Q05000034-30,PENDIENTE_GRABADO
Q05000035,Q05000035-30,PENDIENTE_GRABADO
Q05000036,Q05000036-30,PENDIENTE_GRABADO
Q05000037,Q05000037-30,PENDIENTE_GRABADO
Q05000038,Q05000038-30,PENDIENTE_GRABADO
Q05000039,Q05000039-30,PENDIENTE_GRABADO
Q05000040,Q05000040-30,PENDIENTE_GRABADO
Q05000041,Q05000041-30,PENDIENTE_GRABADO
Q05000042,Q05000042-30,PENDIENTE_GRABADO
Q05000043,Q05000043-30,PENDIENTE_GRABADO
Q05000044,Q05000044-30,PENDIENTE_GRABADO
Q05000045,Q05000045-30,PENDIENTE_GRABADO
Q05000046,Q05000046-30,PENDIENTE_GRABADO
Q05000047,Q05000047-30,PENDIENTE_GRABADO
Q05000048,Q05000048-30,PENDIENTE_GRABADO
Q05000049,Q05000049-30,PENDIENTE_GRABADO
Q05000050,Q05000050-30,PENDIENTE_GRABADO
Q05000051,Q05000051-30,PENDIENTE_GRABADO
Q05000052,Q05000052-30,PENDIENTE_GRABADO
Q05000053,Q05000053-30,PENDIENTE_GRABADO
Q05000054,Q05000054-30,PENDIENTE_GRABADO
Q05000055,Q05000055-30,PENDIENTE_GRABADO
Q05000056,Q05000056-30,PENDIENTE_GRABADO
Q05000057,Q05000057-30,PENDIENTE_GRABADO
Q05000058,Q05000058-30,PENDIENTE_GRABADO
Q05000059,Q05000059-30,PENDIENTE_GRABADO
Q05000060,Q05000060-30,PENDIENTE_GRABADO
Q05000061,Q05000061-30,PENDIENTE_GRABADO
Q05000062,Q05000062-30,PENDIENTE_GRABADO
Q05000063,Q05000063-30,PENDIENTE_GRABADO
Q05000064,Q05000064-30,PENDIENTE_GRABADO
Q05000065,Q05000065-30,PENDIENTE_GRABADO
Q05000066,Q05000066-30,PENDIENTE_GRABADO
Q05000067,Q05000067-30,PENDIENTE_GRABADO
Q05000068,Q05000068-30,PENDIENTE_GRABADO
Q05000069,Q05000069-30,PENDIENTE_GRABADO
Q05000070,Q05000070-30,PENDIENTE_GRABADO
Q05000071,Q05000071-30,PENDIENTE_GRABADO
Q05000072,Q05000072-30,PENDIENTE_GRABADO
Q05000073,Q05000073-30,PENDIENTE_GRABADO
Q05000074,Q05000074-30,PENDIENTE_GRABADO
Q05000075,Q05000075-30,PENDIENTE_GRABADO
Q05000076,Q05000076-30,PENDIENTE_GRABADO
Q05000077,Q05000077-30,PENDIENTE_GRABADO
Q05000078,Q05000078-30,PENDIENTE_GRABADO
Q05000079,Q05000079-30,PENDIENTE_GRABADO
Q05000080,Q05000080-30,PENDIENTE_GRABADO
Q05000081,Q05000081-30,PENDIENTE_GRABADO
Q05000082,Q05000082-30,PENDIENTE_GRABADO
Q05000083,Q05000083-30,PENDIENTE_GRABADO
Q05000084,Q05000084-30,PENDIENTE_GRABADO
Q05000085,Q05000085-30,PENDIENTE_GRABADO
Q05000086,Q05000086-30,PENDIENTE_GRABADO
Q05000087,Q05000087-30,PENDIENTE_GRABADO
Q05000088,Q05000088-30,PENDIENTE_GRABADO
Q05000089,Q05000089-30,PENDIENTE_GRABADO
Q05000090,Q05000090-30,PENDIENTE_GRABADO
Q05000091,Q05000091-30,PENDIENTE_GRABADO
Q05000092,Q05000092-30,PENDIENTE_GRABADO
Q05000093,Q05000093-30,PENDIENTE_GRABADO
Q05000094,Q05000094-30,PENDIENTE_GRABADO
Q05000095,Q05000095-30,PENDIENTE_GRABADO
Q05000096,Q05000096-30,PENDIENTE_GRABADO
Q05000097,Q05000097-30,PENDIENTE_GRABADO
Q05000098,Q05000098-30,PENDIENTE_GRABADO
Q05000099,Q05000099-30,PENDIENTE_GRABADO
Q05000100,Q05000100-30,PENDIENTE_GRABADO
Q05000101,Q05000101-30,PENDIENTE_GRABADO
Q05000102,Q05000102-30,PENDIENTE_GRABADO
