economic_number,asset_id,model
TEL-0001,PHONE-000001,MODELO-DEMO
TEL-0002,PHONE-000002,MODELO-DEMO
TEL-0003,PHONE-000003,MODELO-DEMO
TEL-0004,PHONE-000004,MODELO-DEMO
TEL-0005,PHONE-000005,MODELO-DEMO
TEL-0006,PHONE-000006,MODELO-DEMO
TEL-0007,PHONE-000007,MODELO-DEMO
TEL-0008,PHONE-000008,MODELO-DEMO
TEL-0009,PHONE-000009,MODELO-DEMO
TEL-0010,PHONE-000010,MODELO-DEMO
TEL-0011,PHONE-000011,MODELO-DEMO
TEL-0012,PHONE-000012,MODELO-DEMO
TEL-0013,PHONE-000013,MODELO-DEMO
TEL-0014,PHONE-000014,MODELO-DEMO
TEL-0015,PHONE-000015,MODELO-DEMO
TEL-0016,PHONE-000016,MODELO-DEMO
TEL-0017,PHONE-000017,MODELO-DEMO
TEL-0018,PHONE-000018,MODELO-DEMO
TEL-0019,PHONE-000019,MODELO-DEMO
TEL-0020,PHONE-000020,MODELO-DEMO
TEL-0021,PHONE-000021,MODELO-DEMO
TEL-0022,PHONE-000022,MODELO-DEMO
TEL-0023,PHONE-000023,MODELO-DEMO
TEL-0024,PHONE-000024,MODELO-DEMO
TEL-0025,PHONE-000025,MODELO-DEMO
TEL-0026,PHONE-000026,MODELO-DEMO
TEL-0027,PHONE-000027,MODELO-DEMO
TEL-0028,PHONE-000028,MODELO-DEMO
TEL-0029,PHONE-000029,MODELO-DEMO
TEL-0030,PHONE-000030,MODELO-DEMO
TEL-0031,PHONE-000031,MODELO-DEMO
TEL-0032,PHONE-000032,MODELO-DEMO
TEL-0033,PHONE-000033,MODELO-DEMO
TEL-0034,PHONE-000034,MODELO-DEMO
TEL-0035,PHONE-000035,MODELO-DEMO
TEL-0036,PHONE-000036,MODELO-DEMO
TEL-0037,PHONE-000037,MODELO-DEMO
TEL-0038,PHONE-000038,MODELO-DEMO
TEL-0039,PHONE-000039,MODELO-DEMO
TEL-0040,PHONE-000040,MODELO-DEMO
TEL-0041,PHONE-000041,MODELO-DEMO
TEL-0042,PHONE-000042,MODELO-DEMO
TEL-0043,PHONE-000043,MODELO-DEMO
TEL-0044,PHONE-000044,MODELO-DEMO
TEL-0045,PHONE-000045,MODELO-DEMO
TEL-0046,PHONE-000046,MODELO-DEMO
TEL-0047,PHONE-000047,MODELO-DEMO
TEL-0048,PHONE-000048,MODELO-DEMO
TEL-0049,PHONE-000049,MODELO-DEMO
TEL-0050,PHONE-000050,MODELO-DEMO
TEL-0051,PHONE-000051,MODELO-DEMO
TEL-0052,PHONE-000052,MODELO-DEMO
TEL-0053,PHONE-000053,MODELO-DEMO
TEL-0054,PHONE-000054,MODELO-DEMO
TEL-0055,PHONE-000055,MODELO-DEMO
TEL-0056,PHONE-000056,MODELO-DEMO
TEL-0057,PHONE-000057,MODELO-DEMO
TEL-0058,PHONE-000058,MODELO-DEMO
TEL-0059,PHONE-000059,MODELO-DEMO
TEL-0060,PHONE-000060,MODELO-DEMO
TEL-0061,PHONE-000061,MODELO-DEMO
TEL-0062,PHONE-000062,MODELO-DEMO
TEL-0063,PHONE-000063,MODELO-DEMO
TEL-0064,PHONE-000064,MODELO-DEMO
TEL-0065,PHONE-000065,MODELO-DEMO
TEL-0066,PHONE-000066,MODELO-DEMO
TEL-0067,PHONE-000067,MODELO-DEMO
TEL-0068,PHONE-000068,MODELO-DEMO
TEL-0069,PHONE-000069,MODELO-DEMO
TEL-0070,PHONE-000070,MODELO-DEMO
TEL-0071,PHONE-000071,MODELO-DEMO
TEL-0072,PHONE-000072,MODELO-DEMO
TEL-0073,PHONE-000073,MODELO-DEMO
TEL-0074,PHONE-000074,MODELO-DEMO
TEL-0075,PHONE-000075,MODELO-DEMO
TEL-0076,PHONE-000076,MODELO-DEMO
TEL-0077,PHONE-000077,MODELO-DEMO
TEL-0078,PHONE-000078,MODELO-DEMO
TEL-0079,PHONE-000079,MODELO-DEMO
TEL-0080,PHONE-000080,MODELO-DEMO
TEL-0081,PHONE-000081,MODELO-DEMO
TEL-0082,PHONE-000082,MODELO-DEMO
TEL-0083,PHONE-000083,MODELO-DEMO
TEL-0084,PHONE-000084,MODELO-DEMO
TEL-0085,PHONE-000085,MODELO-DEMO
TEL-0086,PHONE-000086,MODELO-DEMO
TEL-0087,PHONE-000087,MODELO-DEMO
TEL-0088,PHONE-000088,MODELO-DEMO
TEL-0089,PHONE-000089,MODELO-DEMO
TEL-0090,PHONE-000090,MODELO-DEMO
TEL-0091,PHONE-000091,MODELO-DEMO
TEL-0092,PHONE-000092,MODELO-DEMO
TEL-0093,PHONE-000093,MODELO-DEMO
TEL-0094,PHONE-000094,MODELO-DEMO
TEL-0095,PHONE-000095,MODELO-DEMO
TEL-0096,PHONE-000096,MODELO-DEMO
TEL-0097,PHONE-000097,MODELO-DEMO
TEL-0098,PHONE-000098,MODELO-DEMO
TEL-0099,PHONE-000099,MODELO-DEMO
TEL-0100,PHONE-000100,MODELO-DEMO
